URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type,REGISTER_MONTH,REGISTER_DAY,REGISTER_YEAR,LAST_UPDATED_MONTH,LAST_UPDATED_DAY,LAST_UPDATED_YEAR,REGISTER_HOUR,REGISTER_MINUTES,LAST_UPDATED_HOUR,LAST_UPDATED_MINUTES,REGISTER_DAYOFYEAR,REGISTER_DAYOFMONTH,REGISTER_DAYOFWEEK,REGISTER_WEEKDAY,REGISTER_WORKINGDAY,REGISTER_WEEKEND,LAST_UPDATED_DAYOFYEAR,LAST_UPDATED_DAYOFMONTH,LAST_UPDATED_DAYOFWEEK,LAST_UPDATED_WEEKDAY,LAST_UPDATED_WORKINGDAY,LAST_UPDATED_WEEKEND,nginx,apache,microsoft-httpapi,red,hat,unix,openssl,mod_bwlimited,openresty,ubuntu,oracle-iplanet-web-server,cloudflare-nginx,heptu,pepyaka,phusion,passenger,amazon,microsoft-iis,litespeed,cpanel,tsa_c,fedora,debian,centos,php,gse,tengine,sun-one-web-server,communique,amazons3,mod_perl,mod_ssl,ats,dav,cherrypy,khl,mod_fcgid,mod_jk,red-hat,frontpage,mw2114.codfw.wmnet,perl,jetty9.0.z-snapshot,httpdaemon,mediafire,dosarrest,mw2232.codfw.wmnet,sucuri,mw2260.codfw.wmnet,mw2239.codfw.wmnet,dps,rus,mod_auth_passthrough,freebsd,with,suhosin-patch,mod_log_bytes,mod_gzip,ssws,mod_apreq2-20090110,youtubefrontend,squeegit,3_sir,virtuoso,linux,i686-generic-linux-glibc212-64,vdb,apache-coyote,yippee-ki-yay,mw2165.codfw.wmnet,mw2192.codfw.wmnet,proxy,pandeiro,uol,mw2231.codfw.wmnet,mw2109.codfw.wmnet,mw2225.codfw.wmnet,mw2236.codfw.wmnet,mw2101.codfw.wmnet,varnish,resin,mw2164.codfw.wmnet,mw2242.codfw.wmnet,mw2175.codfw.wmnet,mw2107.codfw.wmnet,mw2190.codfw.wmnet,barista,mw2103.codfw.wmnet,ecd,fll,pagely,gateway,mw2097.codfw.wmnet,mw2233.codfw.wmnet,fbs,mw2199.codfw.wmnet,mw2255.codfw.wmnet,mw2228.codfw.wmnet,gunicorn,mw2241.codfw.wmnet,lighttpd,mw2230.codfw.wmnet,akamaighost,mw2240.codfw.wmnet,pws,nxfps,play,mw2185.codfw.wmnet,telling,authtds,scratch,marrakesh,mw2182.codfw.wmnet,squid,openbsd,zope,python,linux2,zserver,openam,agent,mw2104.codfw.wmnet,mw2110.codfw.wmnet,mw2176.codfw.wmnet,mw2187.codfw.wmnet,mw2106.codfw.wmnet,ben-ssl,mod_fastcgi,mod_throttle,chili!soft-asp,aeria,games,entertainment,mw2173.codfw.wmnet,enterprise,mw2198.codfw.wmnet,mw2172.codfw.wmnet,cowboy,mw2113.codfw.wmnet,mw2224.codfw.wmnet,mw2171.codfw.wmnet,mw2257.codfw.wmnet,mw2226.codfw.wmnet,dms,application-server,mw2177.codfw.wmnet,mw2197.codfw.wmnet,mw2178.codfw.wmnet,mod_python,www.lexisnexis.com,9999,mw2238.codfw.wmnet,pizza,mi,roxen,mw2180.codfw.wmnet,ebay,boston.com,frontend,ideawebserver,litigation_essentials.lexisnexis.com
16,7,ISO-8859-1,263.0,,,7,0,2,700,9,10,1153,832,9,2.0,1,10.0,10.0,2015.0,,,,18.0,21.0,,,283.0,31.0,5.0,5.0,0,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,UTF-8,15087.0,,,17,7,4,1230,17,19,1265,1230,17,0.0,0,,,,,,,,,,,,,,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,US-ASCII,324.0,,,0,0,0,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,0,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,6,ISO-8859-1,162.0,US,ALASKA,31,22,3,3812,39,37,18784,4380,39,8.0,0,10.0,7.0,1997.0,9.0,12.0,2013.0,4.0,0.0,0.0,45.0,280.0,31.0,1.0,1.0,1,0,255.0,30.0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,UTF-8,124140.0,US,TEXAS,57,2,5,4278,61,62,129889,4586,61,4.0,0,5.0,12.0,1996.0,4.0,11.0,2017.0,0.0,0.0,0.0,0.0,133.0,31.0,6.0,6.0,0,1,101.0,30.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,UTF-8,,SC,MAHE,11,6,9,894,11,13,838,894,11,0.0,0,8.0,3.0,2016.0,10.0,3.0,2016.0,14.0,30.0,3.0,45.0,216.0,31.0,2.0,2.0,1,0,277.0,31.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,ISO-8859-1,345.0,US,COLORADO,12,0,3,1189,14,13,8559,1327,14,2.0,0,7.0,29.0,2002.0,7.0,1.0,2016.0,0.0,0.0,0.0,0.0,210.0,31.0,0.0,0.0,1,0,183.0,31.0,4.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,US-ASCII,324.0,US,FLORIDA,0,0,0,0,0,0,0,0,0,0.0,0,3.0,18.0,1997.0,3.0,19.0,2017.0,0.0,0.0,0.0,0.0,77.0,31.0,1.0,1.0,1,0,78.0,31.0,6.0,6.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,5,UTF-8,,,,0,0,0,0,2,3,213,146,2,2.0,1,11.0,8.0,2014.0,,,,7.0,41.0,,,312.0,30.0,5.0,5.0,0,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,UTF-8,,,,0,0,0,0,2,1,62,146,2,2.0,1,11.0,8.0,2014.0,,,,7.0,41.0,,,312.0,30.0,5.0,5.0,0,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
